D_obs,delta_obs,X1,X2,X3
46,1,0.827934161342151,0.607836327645996,0.50324846016288
80,0,3.76695734003771,1.66505485000773,6.27219058880202
43,1,0.44231361103815,0.0688380818044005,0.030448020539844
33,1,0.238697167424155,-0.784992250728531,-0.187375426698812
103,1,1.4905499841498,-1.50019994128917,-2.2361229987101
30,1,2.58100272359426,1.31593945063936,3.39644330618532
78,1,1.10709685264716,-0.708710465838834,-0.784611126168275
27,1,4.14159860158741,2.61516369654462,10.8309583085314
135,1,3.0657217732893,-1.03324612791042,-3.16764515150185
65,1,1.49530515286522,0.38709645670142,0.578827326361504
48,1,0.548105542531065,0.431619981854755,0.236573304321749
48,1,0.86312976477477,0.743256629960683,0.641526920185253
16,1,4.11131990627556,1.23197827383755,5.06505680132733
90,0,1.69684148884844,-0.850600458978825,-1.44333414922879
104,1,3.23721249348548,0.200911844588835,0.650394333392189
122,1,3.32972385592186,-0.344126124445618,-1.14584496601251
46,1,-0.911477212822595,-1.13011355894577,1.03007275688091
50,1,0.222066122984551,0.212060954048311,0.0470915539019135
20,1,4.18773201246627,1.91943975781911,8.03809931981959
47,1,-1.69879816543082,-1.87268330717896,3.18131096666854
90,0,3.12706725599847,0.591535502338286,1.84977130012266
26,1,3.30342753746734,1.73120516349709,5.71891081010194
19,1,1.81807556858776,-0.590504007409929,-1.07358090902516
32,1,2.39192524130951,1.26758348249531,3.03196492724755
59,1,0.195920411400229,-0.512641966083703,-0.100437024896141
27,1,2.52108504748093,0.968578672671212,2.44186920898032
30,1,2.34995384507435,1.07541593073206,2.52717780147801
100,0,2.41434801797076,-0.668751084467368,-1.61459785529959
41,1,0.61899810877528,0.132310845294422,0.0819001630077057
40,1,2.20183646474412,1.64902630171147,3.63088624243046
33,1,1.70935357771522,0.689498710025927,1.17859708681285
31,1,0.093945564866998,-1.08002956102916,-0.101463987183941
66,1,0.458140662970462,-0.703424012225502,-0.322267143310334
20,1,3.98522332207617,1.67263980991444,6.66584317990409
131,1,2.45964676117277,-1.53139186597315,-3.76668304322718
77,1,0.937646690544342,-0.855222920954471,-0.801896941510625
142,1,3.84331820301338,-0.475038728729924,-1.82572499326405
60,0,2.41231580306588,1.22824071818272,2.96290449444117
18,1,3.11908289244218,0.646648169284965,2.01694924224579
49,1,1.91548909601951,1.86576700183523,3.5738563477284
49,1,-0.567765031287651,-0.589219020695117,0.334537955720242
12,1,5.43888897089452,1.94487798982536,10.5779754485967
31,1,2.25598334306408,1.04907491976181,2.36669554460893
100,1,1.32679840671726,-1.52372698625144,-2.02167853763051
25,1,3.17828481341863,1.50410473413687,4.78047323429828
24,1,2.37256037239439,0.562445588690936,1.33443611535615
22,1,1.82725352892627,-0.191004104567088,-0.349012924109616
23,1,3.04783820164085,1.10499780438816,3.36785452094349
26,1,2.48196732801982,0.861179338841079,2.13741898256927
27,1,1.91547579454205,0.430463790943568,0.824542971979216
25,1,1.16255258245233,-0.546855104396423,-0.635747813843302
20,1,3.43354026383333,1.22948859943544,4.22149861008562
